canonical	aliases	category	keep_english	freq_train	freq_test
守住		move	false	766	32
噴火龍		pokemon	false	431	8
順風		move	false	309	14
熾焰咆哮虎	咆哮虎	pokemon	false	313	1
烈咬陸鯊		pokemon	false	279	12
風妖精		pokemon	false	246	16
奇麒麟		pokemon	false	191	44
幽尾玄魚		pokemon	false	211	8
披帶	批帶 氣勢披帶	item	false	213	1
岩崩		move	false	194	13
大狃拉		pokemon	false	202	0
講究圍巾	圍巾	item	false	172	5
賽富豪		pokemon	false	164	6
勾魂眼		pokemon	false	156	0
晴天		field	false	146	9
巨沼怪		pokemon	false	147	6
大嘴鷗		pokemon	false	137	8
鋁鋼橋龍		pokemon	false	140	4
美納斯		pokemon	false	143	1
花葉蒂		pokemon	false	124	10
來悲粗茶		pokemon	false	113	18
仆斬將軍		pokemon	false	124	6
氣象球		move	false	115	5
班基拉斯		pokemon	false	119	0
月亮之力		move	false	105	0
煤炭龜		pokemon	false	80	13
姆克鷹		pokemon	false	71	16
暗影球		move	false	82	1
艾路雷朵		pokemon	false	80	0
棄世猴		pokemon	false	79	0
閃焰衝鋒		move	false	66	11
化石翼龍		pokemon	false	67	6
日光束		move	false	73	0
勇鳥猛攻		move	false	72	1
火焰雞		pokemon	false	60	12
索羅亞克		pokemon	false	66	2
水箭龜		pokemon	false	52	16
烈箭鷹		pokemon	false	60	5
冰凍之風		move	false	63	0
大地之力		move	false	63	0
巨金怪		pokemon	false	60	0
噴火駝		pokemon	false	60	0
快速折返		move	false	59	1
mega		english	true	60	0
泥偶巨人		pokemon	false	57	0
沙奈朵		pokemon	false	57	0
蚊香蛙皇		pokemon	false	53	3
鋼鎧鴉	鋼凱鴉	pokemon	false	56	0
淘金潮		move	false	55	0
妙蛙花		pokemon	false	53	0
長毛巨魔		pokemon	false	52	0
十萬伏特		move	false	52	0
大嘴娃		pokemon	false	23	28
憤怒粉		move	false	49	2
一家鼠		pokemon	false	50	0
水流噴射		move	false	50	0
皮可西		pokemon	false	38	7
生命寶珠		item	false	32	0
戲法空間		move	false	11	18
尖石攻擊		move	false	21	0
撒嬌		move	false	18	1
打草結		move	false	17	1
仙子伊布		pokemon	false	0	17
大師球		item	false	9	0
黑色眼鏡		item	false	3	0
神秘水滴		item	false	1	0
妖精之風		move	false	0	0
講究頭帶		item	false	0	0
Tera		english	true	0	0
best of		english	true	0	0
